epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2853.51,1.44061,0.81016,1.25237,0.83809,0.77891,0.82254,0.43209,1.43321,0.71751,1.34493,0.000444309,0.000444309,0.000444309
68,2896.35,1.40812,0.79133,1.2436,0.84573,0.82536,0.85088,0.44389,1.43497,0.6959,1.34783,0.000421792,0.000421792,0.000421792
69,2939.26,1.42903,0.80792,1.24223,0.84795,0.80118,0.84269,0.43905,1.43645,0.70131,1.34306,0.000399689,0.000399689,0.000399689
70,2984.79,1.41454,0.80363,1.23568,0.85711,0.81363,0.85306,0.44376,1.43457,0.69801,1.34018,0.000378023,0.000378023,0.000378023
71,3030.07,1.40991,0.78481,1.2192,0.83532,0.80549,0.83674,0.44047,1.43173,0.69717,1.329,0.000356815,0.000356815,0.000356815
72,3076.02,1.41591,0.78997,1.22312,0.82912,0.82369,0.84573,0.44139,1.43652,0.69036,1.33902,0.000336086,0.000336086,0.000336086
73,3120.58,1.4207,0.78762,1.23214,0.83651,0.81152,0.8446,0.44157,1.43015,0.6977,1.33298,0.000315855,0.000315855,0.000315855
74,3165.05,1.40187,0.79004,1.22123,0.83919,0.80141,0.84527,0.44371,1.42597,0.70373,1.33331,0.000296144,0.000296144,0.000296144
75,3208.32,1.37551,0.77313,1.22138,0.84225,0.81852,0.8466,0.44175,1.42607,0.68266,1.33785,0.000276971,0.000276971,0.000276971
76,3250.95,1.37276,0.76961,1.22009,0.85221,0.82371,0.85254,0.44309,1.43549,0.69392,1.33748,0.000258355,0.000258355,0.000258355
77,3294.06,1.39324,0.79173,1.21386,0.83449,0.81396,0.84776,0.43974,1.42995,0.69656,1.3424,0.000240316,0.000240316,0.000240316
78,3336.95,1.39052,0.77736,1.2161,0.85307,0.82425,0.85393,0.4476,1.42085,0.68526,1.33163,0.00022287,0.00022287,0.00022287
79,3379.79,1.37045,0.75885,1.22035,0.84087,0.81169,0.84692,0.44455,1.42724,0.6804,1.33778,0.000206034,0.000206034,0.000206034
80,3423.22,1.398,0.77859,1.22221,0.85463,0.83143,0.85735,0.4481,1.41133,0.67774,1.32513,0.000189827,0.000189827,0.000189827
81,3466.06,1.35568,0.75329,1.21868,0.84345,0.82037,0.84577,0.44414,1.41711,0.67914,1.32707,0.000174262,0.000174262,0.000174262
82,3509.99,1.38334,0.75828,1.22765,0.85058,0.81876,0.84901,0.44401,1.42065,0.68117,1.33135,0.000159357,0.000159357,0.000159357
83,3553.84,1.38714,0.75207,1.21416,0.85548,0.80669,0.84377,0.44516,1.4255,0.677,1.33262,0.000145125,0.000145125,0.000145125
84,3596.11,1.3854,0.76578,1.2214,0.83547,0.80818,0.83927,0.44493,1.4134,0.68039,1.32344,0.000131581,0.000131581,0.000131581
85,3637.82,1.34124,0.74358,1.20433,0.84037,0.80498,0.83501,0.44016,1.42244,0.69577,1.32806,0.000118737,0.000118737,0.000118737
86,3679.73,1.35897,0.74956,1.20061,0.85344,0.79976,0.83959,0.44162,1.42418,0.69498,1.32905,0.000106608,0.000106608,0.000106608
87,3721.81,1.36354,0.75432,1.21191,0.84486,0.80234,0.83782,0.44169,1.41641,0.67978,1.32733,9.52034e-05,9.52034e-05,9.52034e-05
88,3763.71,1.32859,0.74208,1.19784,0.84994,0.80465,0.84531,0.4447,1.41129,0.67805,1.32522,8.4536e-05,8.4536e-05,8.4536e-05
89,3808.35,1.35367,0.75337,1.20754,0.84157,0.80498,0.84308,0.44407,1.41146,0.68028,1.3254,7.4616e-05,7.4616e-05,7.4616e-05
